question_id,question,choices,answerKey,statements,isRelevant
,,,,It is important to wash your hands and cooking utensils after handling raw chicken to avoid cross-contamination.,
,,,,"Chicken is often a staple in many cultures’ cuisines, appearing in traditional dishes around the world.",
23d97480fe45bace231503f8fc367a5b,What do professors primarily do?,master physics,teach courses,Mastering physics requires a strong understanding of basic concepts before tackling more advanced topics.,
,,,,"To master physics, you need to practice solving problems and applying theoretical knowledge to real-life situations.",
,,,,"Physics mastery often involves learning complex math, as many concepts are mathematically driven.",
,,,,Consistent study and regular review are essential for mastering physics over time.,
,,,,"To truly master physics, one must be curious about how the world works and enjoy asking ""why"" and ""how.""",
,,,,"Mastering physics isn’t just about memorizing formulas, but understanding the principles behind them.",
,,,,"Physics mastery involves breaking down complicated problems into smaller, more manageable parts.",
,,,,"Mastering physics can be difficult, but persistence and patience are key to overcoming challenges.",
,,,,Collaborating with peers or seeking help from a teacher can significantly aid in mastering difficult physics concepts.,
,,,,Real-world experiments and observations are essential for reinforcing what you learn in physics theory.,
,,state facts,,State facts are statements that can be verified and are based on reality or evidence.,
,,,,"A fact is objective and not influenced by personal feelings, interpretations, or opinions.",
,,,,"Examples of state facts include historical events, scientific laws, or verifiable information like ""water boils at 100°C.""",
,,,,"State facts can be proven true or false through observation, measurement, or documentation.",
,,,,"When providing state facts, it is important to use reliable sources or evidence to back up the statement.",
,,,,"State facts can be about people, places, things, or events that are universally recognized or accepted.",
,,,,"Unlike opinions, state facts do not change depending on who is making the statement.",
,,,,"State facts are typically used in educational, legal, and journalistic contexts to support claims and arguments.",
,,,,"Not all statements are facts; some may be opinions, beliefs, or interpretations, which are subjective.",
,,,,Facts are essential for forming logical conclusions or making informed decisions in discussions or debates.,
,,wear wrinkled tweed jackets,,Wearing a wrinkled tweed jacket might give off the impression of being casual or unkempt.,
,,,,"Tweed jackets are typically associated with a more classic or scholarly style, but wrinkles can make them look less polished.",
,,,,"Some people deliberately wear wrinkled tweed jackets as part of a vintage or ""lived-in"" look.",
,,,,A wrinkled tweed jacket could indicate that someone is too busy to care about their appearance or hasn't had time to iron it.,
,,,,"Tweed jackets, while durable, can easily wrinkle after sitting for long periods.",
,,,,Wearing a wrinkled tweed jacket in a professional setting might make you look less put together.,
,,,,Some might wear a wrinkled tweed jacket because they prefer comfort over appearance.,
,,,,The texture of tweed naturally holds wrinkles more than smoother fabrics like wool or cotton.,
,,,,"A well-worn, wrinkled tweed jacket can give off an air of intellectualism, as if it’s been worn for many thoughtful conversations.",
,,,,"In certain creative professions, wearing a wrinkled tweed jacket might be seen as a sign of individuality or relaxed fashion.",
,,school students,,"School students spend a significant portion of their day in the classroom, learning academic subjects.",
,,,,"Students typically follow a schedule that includes classes, breaks, and extracurricular activities.",
,,,,It is important for school students to develop good study habits to succeed academically.,
,,,,"Students often face pressures from homework, exams, and the desire to perform well in school.",
,,,,Teachers play a crucial role in guiding students through their education and providing support.,TRUE
,,,,Social interaction with peers is an important aspect of a school student’s development.,
,,,,"School students often participate in extracurricular activities like sports, music, and clubs to explore their interests.",
,,,,Students are expected to follow rules and respect authority while in school to maintain a safe and productive learning environment.,
,,,,"School students benefit from a balanced routine that includes time for studying, physical activity, and relaxation.",
,,,,Parental involvement in a student’s education can positively impact their motivation and academic performance.,
,,teach courses,,Teachers prepare lesson plans before the course begins.,TRUE
,,,,Teaching a course involves explaining concepts in a way that students can understand.,
,,,,"Teachers often use visual aids, like slides or whiteboards, to support their lessons.",
